编号,标签,时间,内容
35246657,"系统动画,稳定版内测,MIUI系统,Redmi K40/Pro,小米11",2022-02-02 00:18:23,"红米K40Pro_稳定版13.0.6.0_日常使用卡顿/掉帧
操作步骤
日常使用会有点卡顿掉帧现象不跟手
预期结果
流畅不掉帧不卡顿还稳定
实际结果
掉帧有点严重还卡有时候会卡住一小会"
35902439,"系统动画,小米11,MIUI系统,开发版内测",2022-02-01 23:54:54,"MIUI13_小米11开发版_锁屏解锁时卡顿/掉帧
操作步骤
小米11开发版内测锁屏界面上滑解锁桌面缩放动画卡顿
预期结果
小米11开发版内测锁屏界面上滑解锁桌面缩放动画卡顿
实际结果
小米11开发版内测锁屏界面上滑解锁桌面缩放动画卡顿
补充说明
小米11开发版内测锁屏界面上滑解锁桌面缩放动画卡顿"
34434510,"小米11,声音和振动,MIUI系统",2022-02-01 23:43:54,"MIUI13-小米11稳定版13.0.5-顶部扬声器时常不出声音
操作步骤
1. 小米11手机升级至MIUI13系统
2. 打开音乐软件或视频软件，播放一段音频或视频
预期结果
双扬声器能够同时稳定出声
实际结果
听歌或看视频外放时经常扬声器出声不稳定，顶部扬声器时有时无，底部扬声器稳定出声。"
35902394,"小米11,MIUI系统",2022-02-01 23:22:02,"MIUI13-小米11稳定版13.0.5.0-麦克风收音声音小
操作步骤
更新系统后微信语音或者打游戏时麦克风声音很小，对方都听不清，打游戏开语音时对方还会听见我放技能的声音
预期结果
以前都没有问题的，更新13系统后就出现了这种问题
实际结果
希望尽快修复一下，游戏还好，打电话声音小很难受"
35902049,"手环圈,MIUI系统,小米11 Ultra,小米穿戴APP圈,小米12 Pro,小米健康,小米11 Pro,Redmi K40游戏增强版,开发版公测,小米11,Redmi K40/Pro,桌面,小米10/10Pro",2022-02-01 23:00:05,"小米运动App-闪退
操作步骤
手机系统12.5.8，小米运动版本5.6
预期结果
打开小米运动app成功
实际结果
打开小米运动失败闪退"
35243952,"通知栏,小米11,MIUI系统,稳定版内测,Redmi K20/Pro,位置信息",2022-02-01 22:59:30,"MIUI13_22.2月起稳定版_通知栏中无法清除应用通知
操作步骤
更新miui13以后，关闭应用通知无作用，系统应用和第三方应用都有此现象，产生大量通知，很烦
预期结果
后台不要推送已关闭的应用通知
实际结果
产生通知，例如系统自带的浏览器"
35228103,"开发版公测,MIUI系统,三方应用圈,开发版内测,桌面,稳定版内测,Redmi K40游戏增强版,Redmi Note 10/10 Pro,位置信息,王者荣耀小分队,小米11 Ultra,小米10S,Redmi K40/Pro,Redmi手机,服务与反馈APP,快捷回复,系统动画,设置,应用包管理组件,音频,K30S至尊纪念版,小米11",2022-02-01 22:48:41,"22.1月起 刷抖音闪退
操作步骤
哔哩哔哩在观看途中，抖音在刷了几个视频后
预期结果
可以进行持续性观看。
实际结果
闪退（抖音）或重启（哔哩哔哩）
补充说明
发生概率为每次，抖音为最新版"
35900789,"控制中心,开发版内测,MIUI系统,小米11,小米10/10Pro,Redmi K40游戏增强版,K30S至尊纪念版,屏幕显示",2022-02-01 22:40:55,"MIUI13_22.2月起开发版_下拉控制中心偶尔显示空白/所有快捷开关显示不出
操作步骤
控制中心，突然不显示。
预期结果
显示正常，能正常打开数据WiFi蓝牙等。
实际结果
一片空白，不能进行操作。
补充说明
控制中心不显示，不能进行操作。"
35227283,"MIUI系统,小米11,三方应用圈,位置信息,屏幕显示",2022-02-01 22:07:53,"MIUI13-小米11稳定版13.0.5.0微信闪退
操作步骤
离谱，手机微信闪退"
35242242,"MIUI系统,小米11, 锁屏,位置信息,有线充电",2022-02-01 21:28:09,"MIUI13-小米11稳定版13.0.5.0无故自动关机
操作步骤
小米11生13手机老是关机"
35900219,"网络信号,小米11,MIUI系统,三方应用圈,Redmi K40/Pro",2022-02-01 21:17:34,"MIUI13-22.1月起 微信消息通知延迟
操作步骤
1月31日17时51分，才收到朋友13时19分发的消息。当天下午两三点多一直在连接wifi，且视频通话正常。
预期结果
除了这次外，还有一个上午九点的消息下午才收到
实际结果
消息查收延迟，无法及时回复消息"
34430715,"开发版内测,Redmi K40/Pro,MIUI系统,Redmi K30/Pro,K30至尊纪念版,位置信息,小米11,屏幕显示",2022-02-01 19:45:09,"MIUI13-控制中心 开发版 自动亮度下亮度调节异常
操作步骤
屏幕突然变暗，有微微频闪，滑动调节亮度的那个条，想要调亮屏幕
预期结果
正常调节亮度，能让屏幕变亮
实际结果
无法调节屏幕亮度，屏幕一直是最暗的状态，而且亮度调节条在调节时有延迟，不跟手，息屏再亮屏之后就恢复正常了"
34429545,"开发版内测,声音和振动,音频,MIUI系统,K30S至尊纪念版,开发版公测,三方应用圈,小米11,Redmi Note 9/9 Pro,小米10/10Pro,小米12,Redmi K40/Pro,手机蓝牙,小米12X,小米10S,游戏加速,小米降噪耳机Pro",2022-02-01 19:14:00,"MIUI13-22.2月起-连接耳机时语音声音外放/音频外放
操作步骤
连接蓝牙耳机（小米降噪耳机pro），使用微信或者QQ视频通话
预期结果
通话声音为蓝牙耳机播放
实际结果
铃声为耳机播放，通话声音全都是外放！"
35238632,"小米11,MIUI系统,屏幕显示,控制中心",2022-02-01 17:39:40,"MIUI13-小米11稳定版13.0.5-自动亮度不灵敏
操作步骤
小米11手机自动亮度不灵敏，有时候亮度条有变化但是手机亮度没变
预期结果
小米11手机亮度自动调节正常
实际结果
手机自动亮度不灵敏，有时候亮度条有变化但是手机亮度没变"
35894969,"小米11,系统动画,桌面,MIUI系统,温度控制",2022-02-01 17:10:55,"MIUI13-小米11稳定版13.0.5-掉帧严重/卡顿 
操作步骤
小米11更新到最新的miui13，经常没原因出现屏幕显全局示不畅，观感上低于等于60hz。打开设置调整刷新率，显示依然是120hz，此时需要点切换到60hz再切换回120hz，显示才能恢复流畅。
预期结果
120hz模式下不会出现全程不畅
实际结果
120hz模式下经常莫名其妙呈现不大于60hz的卡顿显示效果"
35222713,"小米11,MIUI系统,相机,位置信息,屏幕触控",2022-02-01 16:58:26,"MIUI13-小米11稳定版13.0.5-无故死机/卡死 
操作步骤
不玩手机的时候，锁屏状态，拿起来用要么卡死解不开锁，要么自动关机，然后电量疯狂掉。一天得死个一两次
预期结果
其他版本可没见过这种情况
实际结果
能赶紧更新吗？实在受不了了，天天死机，死一次有时候直接百分之四五十的电都没了"
34427690,"小米11,MIUI系统,屏幕显示",2022-02-01 16:54:50,"MIUI13-小米11-稳定版13.0.5.0-游戏场景下屏幕亮度变暗
操作步骤
为啥手机一热就自动变暗  玩个王者也带不动了  玩一会就自动变暗  也没开自动亮度啊"
34426780,"开发版内测,小米11,有线充电",2022-02-01 15:34:35,"MIUI13 截止22年2.6 小米11 开发版 55W有线充电断断续续
操作步骤
每次充电频繁自动断连充电频繁自动断连。
预期结果
充电频繁自动断连充电频繁自动断连。充电频繁自动断连。
实际结果
充电频繁自动断连充电频繁自动断连。"
35485511,"MIUI系统,小米11,有线充电",2022-02-01 15:28:21,"MIUI13-小米11稳定版13.0.5.0-充电自动关机
操作步骤
手机正常充电自动关机
预期结果
手机应正常充电 不会关机
实际结果
手机没有提示自动关机"
35484476,"小米11,MIUI系统",2022-02-01 14:19:52,"MIUI13—小米11—稳定版13.0.5—单手模式无法使用
操作步骤
设置好单手模式滑动底端主页键与返回键
预期结果
图片发送成功，单手模式可以使用
实际结果
单手模式不可用，一触碰就会返回全屏模式"
35231897,"小米11,MIUI系统",2022-02-01 11:09:26,"MIUI13-小米11稳定版13.0.6.0.重启手机后，电量显示异常
操作步骤
更新13后重启手机后电量直接1％
开机状态下充电还会没反应
预期结果
快点修复快点修复快点修复
实际结果
快点修复快点修复快点修复"
35231812,"日历,小米MIX 4,Redmi Note 10/10 Pro, 锁屏,小米11,主题壁纸,MIUI系统,Redmi K40/Pro,小米10S,设置,小米11 Pro,[融 OU]主题圈,小米10/10Pro,开发版内测,开发版公测,万象息屏,官方壁纸,小米11 Ultra,[招财转运乖乖虎]主题圈,屏幕时间管理,MIUI Home,Xiaomi Civi,[浓米派简繁英通用版]主题圈,Redmi K40游戏增强版,小米12,小米10至尊纪念版",2022-02-01 10:43:10,"MIUI13 锁屏农历年份显示错误
操作步骤
改正成正确的日期，不显示辛丑，显示壬寅。
预期结果
改正成正确的日期，不显示辛丑，显示壬寅。
实际结果
锁屏日期显示错误，望改正。"
35885139,"小米11,相机,MIUI系统",2022-02-01 09:30:18,"MIUI13-小米11稳定版-13.0.5.0-相机无法使用Type-C接口外接的无线麦克风
操作步骤
博雅WM4PRO  typec接口无线麦克风，在小米11的miui12.5版本时，原生摄像头是可以用这个麦克风的，现在升级到miui13后居然无法使用了，但是我拍视频因为要用到背景虚化功能，还就得用原
预期结果
内容阐述明白，希望能给与解决
实际结果
博雅WM4PRO  typec接口无线麦克风，在小米11的miui12.5版本时，原生摄像头是可以用这个麦克风的，现在升级到miui13后居然无法使用了，但是我拍视频因为要用到背景虚化功能，还就得用原"
35209348,"状态栏,小米11,开发版内测,MIUI系统",2022-02-01 02:01:30,"MIUI13_22.2月起开发版_已连接WiFi状态下状态栏无显示WiFi
操作步骤
无特殊步骤，使用中发现问题。
预期结果
状态栏正常显示，变化为WIFI网络。
实际结果
状态栏显示卡住，不发生变化。"
35226057,"控制中心,小米11,状态栏,稳定版内测,MIUI系统,位置信息",2022-02-01 01:50:06,"MIUI13_22.2月起稳定版_当控制中心开启WiFi开关后依然无显示WiFi名称
操作步骤
应该开启成功，可是没反应！！
预期结果
应该开启成功，可是没反应！！
实际结果
应该开启成功，可是没反应！！"
35203833,"小米11,系统动画,MIUI系统,三方应用圈",2022-01-31 19:54:51,"MIUI13-小米11稳定版13.0.5-微信启动速度慢
操作步骤
在后台没有任何应用运行时打开微信会有2到4秒的延迟，没更新MIUI13之前没有这种情况，现在更新后就这样了，反应比之前迟钝了，愁死人了
预期结果
希望解决一下这个问题，每次打开微信感觉想卡住了一样
实际结果
一直都这样很难受，希望解决一下"
35218572,"小米11, 锁屏,MIUI系统,手机管家",2022-01-31 19:44:26,"MIUI13-小米11稳定版13.0.5-密码错一次变成1430分钟后才可以解锁 
操作步骤
手机密码输入错误一次后就提示:主空间密码输入错误次数已达上限，手机已被锁定1430分钟，输不到密码，只能靠指纹进入系统，就怕期间手机关机干嘛的，那就一天用不了手机了！这到底是怎么回事！能否关机重启！
预期结果
之前应该是锁手机180秒
实际结果
现在变成1430分钟"
35203713,"小米11,短信,MIUI系统",2022-01-31 19:42:06,"MIUI13-小米11稳定版13.0.5-短信 白天模式顶部显示异常
操作步骤
白天模式显示异常 打开夜晚模式后显示正常
预期结果
在白天模式下显示正常
实际结果
在白天模式下显示不正常"
35871859,"小米11,自由小窗,游戏加速,MIUI系统",2022-01-31 18:30:45,游戏开小窗保留上次拖放位置
34410655,"小米11,网络信号,MIUI系统",2022-01-31 18:23:35,"小米11稳定版12.5.14 WIFI6连接无法访问互联网
操作步骤
点击WiFi连接，连不上
预期结果
能连上WiFi并且正常使用
实际结果
能连上WiFi但是没有网，其他品牌手机都可以连上WiFi6，然后我把WiFi6代协议降到4代就可以正常使用，能不能尽快修复这个bug"
34408420,"MIUI系统,小米11,声音和振动,音频,电话,桌面,位置信息,稳定版内测",2022-01-31 15:57:30,"MIUI13 小米11 稳定版 13.0.5 扬声器异响杂音
操作步骤
底部扬声器沙哑，需要重置手机可以解决问题。
预期结果
系统还不稳定还需要强化
实际结果
希望小米系统开发部多试试系统完善后在发布。"
35198568,"通知栏,主题壁纸,小米12 Pro,小米10S,Redmi K40/Pro,小米11 Ultra,Redmi Note 10/10 Pro,开发版公测,屏幕显示,系统动画,小米12,小米11,MIUI系统,桌面,位置信息,控制中心,Redmi K40游戏增强版,小米MIX 4,Redmi K30/Pro,状态栏,小米妙享中心公测,屏幕触控,耗电",2022-01-31 14:03:05,"MIUI13 稳定版 通知栏下拉卡顿掉帧
操作步骤
小米10S下拉通知栏掉帧特别严重，影响体验"
34403680,"MIUI系统,小米11,三方应用圈,MIUI+（跨屏协作）,屏幕触控,系统动画,游戏中心",2022-01-31 11:28:59,"MIUI13-小米11稳定版13.0.5.0-应用闪退
操作步骤
打王者呢给我退出来了，不只是王者，相机也是，闪退
预期结果
应用正常使用，相机卡顿
实际结果
应用时常闪退，应用正常使用"
35443046,"小米11,游戏加速,MIUI系统,三方应用圈,屏幕显示",2022-01-30 22:46:58,"MIUI13-小米11-稳定版13.0.5.0-王者荣耀游戏时掉帧严重
操作步骤
小米11王者荣耀设置90帧后，帧率波动明显。与官方宣传不符。90帧下团战掉帧明显，卡顿明显，影响使用体验。"
35443386,"MIUI系统,小米11,系统动画,桌面",2022-01-30 22:40:35,"MIUI13-小米11稳定版-13.0.5 无故重启
操作步骤
手弩莫名其妙的重启"
35849914,"主题壁纸,小米11,MIUI系统,屏幕显示",2022-01-30 22:40:26,"MIUI13-稳定版-主题壁纸-切换主题时钟部件无法切换
操作步骤
设置新主题，主题里的时间和天气不显示。
预期结果
从主题商店里下载的主题里的时间天气显示
实际结果
主题商店不显示时间天气"
35847559,"小米11,声音和振动,MIUI系统",2022-01-30 21:01:30,"MIUI13-小米11稳定版13.0.5.0偶现应用中调节音量全屏模糊
操作步骤
打开哔哩哔哩视频调声音全局模糊
预期结果
不全局模糊
我为什么要十个字
实际结果
111111111111
补充说明
无"
35180833,"小米11,MIUI系统",2022-01-30 20:08:29,"MIUI13-小米11稳定版-13.0.5-哈曼卡顿音效自动关闭
操作步骤
就好比如说周一把哈曼卡顿音质打开了   再过两三天就自己关闭了我也没动它
预期结果
周一打开成功哈曼卡顿音质
实际结果
过一个两三天哈曼卡顿音质自己就关闭了"
35439766,"小米11,MIUI系统,屏幕显示,续航,有线充电",2022-01-30 20:05:05,"MIUI13-小米11稳定版-13.0.5-电量显示异常
操作步骤
充电充到100％之后重启一下又没电了
预期结果
重启之后电量显示正常
实际结果
重启之后电量显示异常，由100％直接跳到1％"
35178813,"控制中心,小米11,稳定版内测,MIUI系统",2022-01-30 18:23:58,MIUI13_22.1月起稳定版_WiFi图标异常消失不见
34387805,"Redmi K40/Pro,MIUI系统,三方应用圈,屏幕显示,设置,控制中心,小米11",2022-01-30 16:54:49,"MIUI13-稳定版-微信场景屏幕亮度降低
操作步骤
一打开微信，手机亮度自动降低
预期结果
一打开微信，手机亮度自动降低
实际结果
一打开微信，手机亮度自动降低
补充说明
希望抓紧调试"
35177068,"Redmi K40/Pro,屏幕触控,MIUI系统,三方应用圈,开发版公测,小米10S,小米11",2022-01-30 16:35:39,"MIUI13-稳定版-微信场景点击发送按钮卡顿/延迟发送/点击没有反应
操作步骤
回复微信信息打字的时候，会出现屏幕卡顿问题，电击发送没有反应，有时候着急回信息好气人"
35431021,"小米11,MIUI系统",2022-01-30 12:51:40,"MIUI13-小米11-稳定版 13.0.6.0通话记录消失
操作步骤
更新最新13系统后，不显示通话记录了，咋整？"
35830189,"小米11,三方应用圈,MIUI系统",2022-01-30 09:49:55,"MIUI13-小米11稳定版13.0.5.0横屏场景下，B站无法全屏播放
操作步骤
游戏无法开小窗，在横屏时，B站无法开全屏
预期结果
能游戏开小窗，B站之类的能开全屏。
实际结果
游戏没得小窗功能，B站在横屏时无法全屏无法"
35166743,"小米11,智能助理（负一屏）",2022-01-30 09:37:25,"MIUI13-小米11稳定版13.0.5.0负一屏快递信息不显示
操作步骤
智慧助手.我的快递添加到负一屏，打开负一屏没有快递信息
预期结果
负一屏显示收发快递信息
实际结果
负一屏看不到快递信息，点开只有查找功能，没有快递信息"
35162943,"开发版公测, 锁屏,Redmi K30/Pro,MIUI系统,开发版内测,设置,Redmi Note 10/10 Pro,小米12 Pro,Redmi Note 9/9 Pro,小米12,小米11,小米11 Ultra",2022-01-30 03:44:49,增加戴口罩解锁手机功能
34374280,"相机,MIUI系统,小米11",2022-01-30 01:22:57,"MIUI13 小米11稳定版13.0.5相机闪退
操作步骤
进行了正常的拍照  拍了一张照片之后过几秒就闪退  这是第二次出现了 。第一次出现后返厂检修说是并没有什么问题  后来也一直没出现   但今天又出现这种问题了  
预期结果
相机能够正常拍摄  不闪退
实际结果
试了好多次  都是拍完一张就闪退"
35418261,"MIUI系统,游戏加速,吃鸡小分队,游戏中心,小米12 Pro,温度控制,小米11 Pro,位置信息,MIUI Pad,应用包管理组件,屏幕显示,三方应用圈,小米12,王者荣耀小分队,开发版公测,开发版内测,Redmi K40游戏增强版,Redmi Note 10/10 Pro,Redmi K40/Pro,小米10S,小米MIX 4,原神小分队,小米MIX2,小米11,小米11青春版,小米11 Ultra,米粉杂谈,小米10至尊纪念版,自由小窗,Redmi K30/Pro,手机管家,K30S至尊纪念版,稳定版内测,Redmi10X/10XPro,小米10/10Pro,Redmi手机,小米9,设置,Xiaomi Civi,Redmi K50电竞版,K30至尊纪念版,小米平板5系列,QQ飞车小分队,快游戏,屏幕触控,MIUI小部件,Redmi K20/Pro,Redmi K50系列",2022-01-30 00:31:22,"MIUI13 22.1月起 自动连招消失
操作步骤
今天玩游戏想用一下，忽然就发现找不到了，不止一个游戏找不到，我手机上5个游戏，全部都找不到自动连招
预期结果
如果是bug希望尽快修复，如果故意取消的，希望能够添加回来
实际结果
打开游戏不能用自动连招"
35170237,"主题壁纸,小米11,MIUI系统",2022-01-29 22:31:23,"MIUI13-稳定版-主题壁纸下载失败300005
操作步骤
更新MIUI13系统后，主题壁纸APP内的所有内容都下载不了
预期结果
主题壁纸APP内可以下载壁纸主题等
实际结果
无法下载，出现下载错误:300005"
35413621,"自由小窗,小米11,MIUI系统,稳定版内测",2022-01-29 22:31:01,"MIUI13_22.1月起稳定版_小窗中点击链接后/小程序会以重新打开一个小窗不会从小窗中跳转
操作步骤
打开可以开小窗的任意软件
再打开软件内的内容该内容不会显示小窗，仍然全屏显示
打开开小窗的软件内的内容继续以小窗模式播放岂不是更好。
预期结果
打开开小窗的软件内的内容继续以小窗模式播放岂不是更好。
实际结果
打开可以开小窗的任意软件
再打开软件内的内容该内容不会显示小窗，仍然全屏显示
补充说明
无"
34369865,"讯飞输入法（小米版）,小米11,MIUI系统",2022-01-29 22:28:23,"22.1月起-讯飞输入法-键盘皮肤重置
操作步骤
讯飞输入法小米版在改成自带的黑色皮肤后，过段时间会自己切换到自带的默认白色皮肤，已经出现了好几次这样的情况！
预期结果
讯飞输入法小米版皮肤改后不会自动恢复默认颜色
实际结果
讯飞输入法小米版在改成自带的黑色皮肤后，过段时间会自己切换到自带的白色皮肤，已经出现了好几次这样的情况！"
35154803,"自由小窗,小米11,开发版内测,MIUI系统",2022-01-29 20:09:18,"MIUI13_22.1月起开发版_游戏中游戏加速打开应用小窗后会卡顿/掉帧
操作步骤
游戏时，从游戏小窗进入微信，会比较卡顿，尤其点击消息后，出现卡顿，无法进入聊天界面
预期结果
解决问题，不再卡顿。。。。。
实际结果
游戏时，从游戏小窗进入微信，会比较卡顿，尤其点击消息后，出现卡顿，无法进入聊天界面"
35153718,"小米11 Ultra,温度控制,MIUI系统,位置信息,小米11,自由小窗",2022-01-29 18:54:38,"MIUI13-小米11U稳定版 13.0.9 日常使用异常发热
操作步骤
更新了13以后，手机发烫非常严重。。。暖手宝"
34365465,"小米11,开发版内测,MIUI系统,有线充电",2022-01-29 18:44:32,"MIUI13-截止1.23小米11开发版-55w有线充电慢 
操作步骤
小米11原装充电器不显示快充"
34364575,"小米11,MIUI系统,设置,位置信息,垃圾清理,桌面",2022-01-29 18:28:58,"MIUI13-小米11稳定版13.0.5-内存占用大
操作步骤
为啥我小米11升完MIUI13以后，我的内存就剩4-5个G了啊，这占用的也太多了吧。"
34364430,"小米11,MIUI系统",2022-01-29 18:26:45,"MIUI13-小米11-稳定版13.0.5-低电量掉电异常快
操作步骤
现在小米11从百分之20一两分钟就关机，怎么办，在线等
预期结果
现在小米11从百分之20一两分钟就关机，怎么办，在线等
实际结果
现在小米11从百分之20一两分钟就关机，怎么办，在线等"
35811134,"小米11,MIUI系统",2022-01-29 18:25:03,"MIUI13-小米11-稳定版13.0.5-偶现自动重启
操作步骤
手机自动重启两三次了 
预期结果
更新米13系统手机要自动重启
实际结果
手机自动重启两三次了
补充说明
手机自动重启两三次了 "
35153188,"小米11,相机",2022-01-29 18:22:44,"MIUI13-小米11-稳定版13.0.5-相机无法对焦
操作步骤
小米拍照默认对不上焦，放大也对不上焦，1倍及以下就可以对上焦，拍摄视频也是同样的情况
预期结果
摄像头可以正常对焦拍照和视频
实际结果
摄像头无法正常对焦拍照片和视频
补充说明
产品质量有很大问题，请重视"
34364625,"小米10S,Redmi K40/Pro,开发版公测,MIUI系统,小米11",2022-01-29 18:13:12,"MIUI13 22.1月起 若干机型稳定版切换公测版卡99.99
操作步骤
从昨天下午稳定版切换开发版卡进度条99.99%后，一直处于失联状态。今天一大早去小米之家，说是只能刷回12稳定版，MIUI13线下店没有，除非有特别授权。
真不想折腾了，就等稳定版推送吧
太糟心
"
34363085,"Redmi K40游戏增强版,MIUI系统,小米10/10Pro,稳定版内测,小米11,重庆米粉同城会,MIUI 万象息屏内测,Redmi K40/Pro,小米10S,小米社区,Redmi Note 8/8 Pro,小米11青春版,Redmi Note 11/Pro,Redmi Note 10/10 Pro,摄影馆,Redmi Note 9/9 Pro,小米11 Pro,开发版公测,Redmi K30/Pro,开发版内测,小米10至尊纪念版,K30S至尊纪念版,小米MIX 4,小米 MIX Fold,MIUI Pad,K30至尊纪念版,Redmi 9/9A,Redmi K20/Pro,传送门,和田米粉同城会,昆明米粉同城会,Redmi10X/10XPro,主题壁纸,位置信息,MIUI+（跨屏协作）,MIUI Home,小米MIX3,小米9,小米10青春版",2022-01-29 17:28:23,感谢米粉朋友们的理解与支持
35154002,"搜狗输入法（小米版）,Redmi K40/Pro,小米11",2022-01-29 11:32:02,"22.1月起-搜狗输入法-游戏键盘位置异常
操作步骤
游戏状态下打开搜狗输入法游戏键盘
打开QQ微信小窗
开始会在右手中间屏幕位置，自己调整一下位置发送完消息，关闭输入法，关闭小窗
再次打开QQ微信小窗，输入法位置回到中间，发送过一次消息后回到调整位置
预期结果
每次发消息，游戏键盘乱跳。
实际结果
就是在反复横跳 误触概率巨大"
34354840,"自由小窗,小米11,开发版公测,MIUI系统",2022-01-29 10:48:09,"MIUI13_22.1月起公测版_视频小窗切换部分应用时切换卡顿/掉帧
操作步骤
B站横屏看视频切换小窗，卡顿掉帧。一开始是B站横屏看视频切小窗时应用视图比例不对，压缩到一起了，但是没有复现出来，只能复现出卡顿。
预期结果
横屏看视频切换小窗和竖屏情况一样顺滑
实际结果
具体见操作步骤，卡顿掉帧"
35396416,"自由小窗,小米11,MIUI系统,稳定版内测,位置信息",2022-01-29 10:13:15,"MIUI13_22.1月起稳定版_微信小窗中打开小程序后闪退/卡退
操作步骤
之前小窗状态下是不能开启小窗模式的小程序，现在更新了，直接闪退。
预期结果
小窗微信，小程序在小窗中显示。
实际结果
小窗微信，小程序，直接全部闪退。
补充说明
真的做到了反向优化，真的棒啊，米ui"
35395186,"小米11,耗电,MIUI系统,续航,位置信息,有线充电,设置,稳定版内测,手机蓝牙",2022-01-29 09:51:34,"MIUI13-小米11稳定版  13.0.5.0日常使用耗电
操作步骤
升MIUI13后后台全部关闭  返回桌面一分钟掉一格电  这就是MIUI13吗  真是爱了
预期结果
越来越流畅。。。。。。。。。
实际结果
小米系统真好用。。。。。。。。。"
35393641,"MIUI系统,Redmi K40游戏增强版,Redmi Note 10/10 Pro,社区数码站,小米12 Pro,小米MIX 4,小米10/10Pro,小米10至尊纪念版,稳定版内测,MIUI小部件,小米11青春版,Redmi Note 9/9 Pro,Redmi K30/Pro,摄影馆,Redmi10X/10XPro,Redmi Note 11/Pro,K30至尊纪念版,Redmi Note 8/8 Pro,K30S至尊纪念版,Redmi K40/Pro,屏幕显示,开发版公测,Redmi K20/Pro,小米CC9 Pro,小米11,小米9SE,Redmi 9/9A,无锡米粉同城会,Xiaomi Civi,小米10青春版,滨州米粉同城会,小米10S",2022-01-29 09:10:38,"感谢米粉朋友们的理解与支持
操作步骤
系统升级速度快点啊"
35389456,"MIUI系统,小米10S,小米11,小米MIX 4,Redmi K40/Pro,开发版公测,Redmi K30/Pro,小米11 Pro,小米11 Ultra,小米平板5系列,Redmi Note 10/10 Pro,MIUI Home内测,MIUI Home,小米10/10Pro,小米10至尊纪念版,主题壁纸,开发版内测,K30至尊纪念版,K30S至尊纪念版,Xiaomi Watch Color 2,小米 MIX Fold,Redmi Note 9/9 Pro,Redmi10X/10XPro,Redmi K40游戏增强版,摄影馆,MIUI小部件,小米运动健康-原小米穿戴&健康,Redmi Note 11/Pro,设置,屏幕触控,昆明米粉同城会,西安米粉同城会,小米10青春版,Xiaomi Civi,米粉杂谈,小米11青春版,Xiaomi Watch S1,Redmi K20/Pro,稳定版内测,邯郸米粉同城会,Redmi Note 7/7 Pro,宁波米粉同城会,Redmi Note 8/8 Pro,小米9,小米平板圈,服务与反馈APP,小米8/8 SE/青春版,屏幕显示,位置信息,小米CC9e,小米社区,系统动画,小米CC9,网络信号, 小米助手,官方壁纸",2022-01-29 02:18:11,"感谢米粉朋友们的支持和理解
操作步骤
没收到，没收到，还是没收到"
35788894,"小米11,MIUI小部件,小米健康,MIUI系统,开发版公测,智能助理（负一屏）,小米11 Pro,小米10至尊纪念版,K30S至尊纪念版,Redmi K40游戏增强版,小米10/10Pro,Redmi Note 10/10 Pro,小米11 Ultra",2022-01-29 00:33:16,小部件-增加睡眠质量部分
35387181,"小米11,游戏加速,MIUI系统,K30S至尊纪念版",2022-01-29 00:30:35,游戏内显示实时帧数
34345695,"小米11,温度控制,MIUI系统,位置信息",2022-01-29 00:28:56,"MIUI13-小米11-稳定版13.0.5.0-日常使用发热严重
操作步骤
该说不说，升级到MIUI13以后，且不说耗电快毕竟有快充，但是手机发热严重，不打游戏，只是看个新闻刷个视频，经常40度以上，攻城狮们是不是该好好优化下呀？"
35133363,"小米11,游戏加速,MIUI系统,三方应用圈",2022-01-29 00:23:00,"MIUI13-小米11-稳定版13.0.6.0-王者荣耀游戏时掉帧严重
操作步骤
小米11玩王者荣耀卡帧，不稳定，到不了90帧"
34345765,"MIUI系统,开发版公测,小米10S,小米平板5系列,摄影馆,Redmi K40/Pro,小米11,Redmi K30/Pro,Redmi Note 10/10 Pro,Redmi K20/Pro,K30至尊纪念版,小米11 Ultra,小米10/10Pro,开发版内测,小米10至尊纪念版,小米手表圈,K30S至尊纪念版,小米手表Color,Redmi K40游戏增强版,小米MIX2S,Redmi Note 9/9 Pro,Redmi Note 11/Pro,小米MIX 4,Redmi10X/10XPro,Xiaomi Civi,稳定版内测,小米11 Pro,小米 MIX Fold,小米11青春版,主题壁纸,齐齐哈尔米粉同城会",2022-01-29 00:11:28,"感谢米粉朋友们的理解及支持
操作步骤
为什么我的红米note9Pro没有13更新系统"
35786529,"自由小窗,小米11,MIUI系统,稳定版内测",2022-01-28 23:50:48,"MIUI13_22.1月起稳定版_部分应用无法悬挂小窗悬挂时显示无操作应用
操作步骤
重启手机和重装系统都无法解决问题，而且昨天在小屏情况下手机卡了一下
预期结果
能够让游戏重新小屏运行
实际结果
游戏内无法小窗运行，显示当前没有可操作程序"
34344760,"小米11,MIUI系统,手机蓝牙,位置信息,电话",2022-01-28 23:36:38,"MIUI13—小米11—稳定版13.0.5—勿扰模式失效/勿扰静音失效
操作步骤
设置了自动开启勿扰模式，
下载输入法皮肤，并启用
预期结果
自动开启，然后来电通知应该都是完全静音的。
输入法皮肤已启用，正常显示皮肤
实际结果
勿扰模式到点会自动开启，但是来电，微信通知，短信通知啥的，还是会响铃提醒。而且到了退出的时间不会自动退出，要自己手动退出。勿扰模式开了像没开一样。
还有搜狗输入法输入法皮肤，下"
